 ,Public Figure Name,Statement,Positive/Negative,
,Harindra Jayalal,"ලෝකයේ ප්‍රථම වතාවට බන්ධනාගාර පරිශ්‍රයක් තුල සිදුකළ පෝදා සමාජ මාධ්‍ය සදහම් කතිකාව 🙏
Harindra Jayalal YouTube නාලිකාවේ වප් පුර පෝදා සුදම් සභාව 🙏
වැලිකඩ බන්ධනාගාරයේ මරණ දඬුවම් සහ ජීවිතාන්තය දක්වා දඬුවම් විඳින සිරකරුවන්ගේ බැතිබර සහභාගිත්වයෙන් සහ සයිකල් පිවිතුරු සුවඳ දුම් සුගන්ධයෙන් සුපූජිත වූ වගයි 🙏🙏🙏",Positive,
,Abhisheka Wimalaweera,"ඉතාම ආදරයෙන් ඔබ වෙනුවෙන් ඉදිරිපත් කරන මගේ ""ABHI"" ප්‍රසංගයේ ප්‍රවේශපත් වැඩි මිලට අලෙවි කරන බව දැන ගන්න ලැබුණා..සමහර දේවල් මට පාලනය කරන්න බෑ.
එහෙම කරන්න එපා.එහෙම කරන අයගෙන් ඉල්ලන්න තියෙන්නෙ එච්චරයි...",Negative,
,Dr. Nalinda Jayatissa,ශ්‍රී ලංකා විසින් ලබාගත් ණය නොගෙවන බවට ශ්‍රී ලංකා රජය විසින් ප්‍රකාශයට පත් කිරීමත් සමග මෙම ව්‍යාපෘතියටත් කණකොකා හඬා තිබෙනවා. ඒ අනුව ශ්‍රී ලාංකිකයන් දහස් ගණනකගේ ජීවිත ආරක්ෂා කිරීමට අත්‍යවශ්‍ය angiography පරීක්ෂණ සහ stenting සිදුකරන මෙම ඒකක ඉදිකිරීමේ ව්‍යාපෘතිය මේ වන විට නතරව තිබෙනවා. ව්‍යාපෘතිය ඉදිරියට ගෙන යාමට නම් මුදල් අමාත්‍යංශය විසින් ජයිකා ආයතනය සමග නිල වශයෙන් කතා කළ යුතුයි. මුදල් අමාත්‍යාංශය එම කටයුත්ත පැහැර හරිමින් සිටිනවා. ,Negative,
,Chanu Dissanayaka,"සිරස Newsfirst මාධ්‍යවේදීන්ට පහර දෙන ලෙස අණකල SSP රොමේෂ් ලියනගේ 👇
ජනතාව වෙනුවෙන් මිලියන ගණනක ගුවන් කාලය වැය කරමින් , සත්‍ය පමණක් හෙළි කරමින් , ජනතාවාදී වූ එකම නාලිකාවේ සහෝදර මාධ්‍යවේදීන්ට එල්ලකල ප්‍රහාරය පිළිකුලෙන් යුතුව හෙළා දකිමු.",Negative,
,Bharatha Prabhashana Thennakoon,"බුකර් සම්මානය ලබපු The Seven Moon කෘතියේ pdf එක හැමතැනම share වෙනවා. කීප දෙනෙක් මටත් එවලා තිබුණා. 
“225 ම හොරු”, “දේශපාලනඥයෝ හොරු..” ගගා මතුරන ගමන් පොත්වල හොර pdf share කරන්නවත් ඒවා කියවන්නවත් එපා.
ලොකු වුණත් පොඩි වුණත් හොරකම හොරකමමමයි.",Negative,
,Dilan Senanayake,"අම්පාර D S සේනානායක විද්‍යාලය වෙනුවෙන් Online මාධ්‍ය වැඩමුලුවක් කරන්න හිටියේ අද 7 ට . දැන් කරන්ට් එක ගියා.
කමක් නෑ . අපි මේක තව පැය එක හමාරකින් පටන් ගන්නම්
ගල් අගුරු හොයාගෙන 🤘🤫",Negative,
184048J,Lasantha Wickramasinghe,"ගොඩක් අය දන්නෙ නෑ වචන වල තියෙන power එක. ඒක නිසාම වැඩි දෙනෙක් වචන use කරන්නෙ වැරදි විදිහට. වචන කියන්නේ කෙනෙක්ගේ ජීවිතයක් නෙමෙයි මුලු රටක්ම උනත් වෙනස් කරනන් පුලුවන් විදිහෙ දෙයක්. ඒක නිසා පුලුවන් හැම වෙලාවකම තව කෙනෙක්ව උඩට ගන්න, වැටිල ඉන්න තැනින් නැගිට්ටවන්න, encourage කරන්න, motivate කරන්න තමන්ගේ වචන පාවිච්චි කරන්න. තමන්ගේ ලොකුකම් කියන්න, අනුන්ව විවේචනය කරන්න, කාගෙ හරි හිතක් කඩන්න අපෙ වචන අපතේ යවන එක නවත්තන්න. අපෙන් පිට වෙන හැම හොද වචනයක් ගානෙම ලොකු positive attraction එකක් අපිට ඇති වෙනවා වගේම අපෙන් කියවෙන හැම හිංසාකාරී වචනයක් ගානෙම අපි ඇතුලේ තියෙන ලොකු ශක්තියක් අපෙන් එලියට යනවා. නිකමට පුරුද්දක් විදිහට හැම දවසකම තමන් අදුරන කීප දෙනෙක්ට හිත හැදෙන විදිහට කතා කරලා බලන්න, වචන වලින් උදවු කරලා බලන්න, ධනාත්මක දේවල් ගැන කතා කරලා බලන්න. ඒ හැම දේකම එකතුවට වඩා වැඩි දෙයක් අපිට ලැබෙනවා. අපිටත් ඒ වගේම හොද දේවල් අහන්න ලැබෙනවා, අපි කරගෙන යන වැඩ සාර්ථක වෙනවා. ඒ විදිහට තමයි Law of attraction වැඩ කරන්නේ. අපි වටේ ඉන්න ටික දෙනෙක්ගෙන් පටන් අරගෙන, අනිත් අයටත් මේ දේ පුරුදු කරලා රටේ හැමෝම ඒ වගේ කරන්න පටන් ගත්තොත් මේ මුලු රටම ගොඩ ගන්න උනත් වැඩි කාලයක් යන එකක් නෑ",Positive,
,Dilshan Abeygunawardana,My Life Quote : බලාපොරොත්තු වල සියල්ලම ලබා ගන්නා සතුටින් සිටින්නෙක් නම් ලබාගතනොහැකි කිසිවක් බලාපොරොත්තු නොවන්නාද සතුටින් සිටින්නෙකි .....,Positive,
,Manitha Abeysiriwardana,"""අපි හැදෙනවා රට හදනවා… ඒක ඇත්තමයි.""
Our beloved childhood song has finally become a reality! I made this video with so much emotion without even sleeping after seeing how united our people have become over the past few weeks regardless of religion and race. I am extremely proud of how unified we have become, and I respect all those who have joined the cause in any way possible. අරගලයට ජයවේවා!!!",Positive,
,Dilantha Malagamuwa,"සුභ උදෑසනක් ඔබ සියලු දෙනාටම. 19 වියේ පසුවන ශෙහාන් චන්ද්‍රසෝම ඊයේ සහ පෙරේදා ඇමරිකාවේ Virginia International Raceway ධාවන පථයේදී පැවති උතුරු ඇමරිකානු Lamborghini Super Trofeo ශූරතාවයේ තරග දෙකම ජයග්‍රහණය කර අප රටට විශාල කීර්තියක් ලබා දුන්නේය.
ලෝකයේ ධනවත්ම සහ ප්‍රබලවත්ම රටවල් සහ කණ්ඩායම් සමග තරග වදිමින් දශක 3ක් පමන මමත්,ශෙහාන් ඇතුළු ධාවකයන් කිහිප දෙනෙකු නොකඩවා අප රටට ජයග්‍රහණ ලබා දෙමින් කීර්තියක් ලබා දී ඇත. ඒ සියල්ලටම නිහතමානී ශ්‍රී ලාංකිකයන් දුන් ආශිර්වාද වලට බොහෝම ස්තූතියි",Positive,
,Amila Gunawardhana,"හැමෝම කිව්වේ කුඩු විකුණනවා, ගේ ඇතුලේ තිබිලා නිධන් හම්බෙනවා කියලා. හදන ගේ නවත්තන්න පෙත්සම් 3ක් ගැහුවා.  Dio Bike එකේ සයිඩ් කන්නාඩි කැඩුවා , meter board  එක කුඩු කරා , car  එකෙට ගල් ගැහැව්වා , මට මාර සතුටුයි  මිනිස්සු කියන එක ගොඩක් අදුරගත්තේ මන් ඔය කාලේ ,  පලවෙනි desktop computer එකක් ගත්තේ මන්  කඩදාසි බෑග් අලවලා සල්ලි එකතු කරලා.  දවස් 3 නිදාගත්තේ නැති දවස් තිබ්බා. 2012-2016 කියන්නේ  මන් හිතන විදිහට මගේ විනාඩියක්වත් මන් අපතේ යැව්වේ නෑ ,ප්‍රතික්ෂේප වීම් ගොඩක් තියෙනවා , දැන් කට්ටිය කියනවා ""උබට නම් අව්ලක් නෑ  දැන් පට්ට ලයිෆ්  එකක්"" කියලා. එත් එක මට නිකන් හම්බුනේ නෑ. මන් ඒ දේවල් ඔක්කොම ටිකෙන් ටික ලගාකරගත්තේ.",Negative,
,Abhisheka Wimalaweera,"සාමාන්‍යයෙන් පෞද්ගලික චරිත ගැන ලියන්න හොද  නෑ.ඒ අනාගතයෙ ඒ මිනිස්සු අතින් වෙන දේවල් අපිට predict කරන්න බැරි නිසා.ඒත් පට්ට හීතලේ දඩාර පීඩනයක් එක්ක ගහන මැච් එකකදි සිද්ද වෙන මේ වගේ දෙයක් හෑල්ලු කරන එක ගැනනම් අපිට සෑහෙන්න හිතන්න වෙනවා.කෝලිට වගේ උනා නම් කමක් නෑ කියල කිව්වෙ එහෙම උනානම් fans ල get well soon කියන හින්දා.
මේ ලංකාවෙ TEAM එක..අපිට ඕනෙ ලංකාව දිනන්න.
ලංකාවෙ ඉදලත් අද මට හෙම්බිරිස්සාව...",Negative,
,Viduranga Sirimanne,"GALLE FACE එක අරගල බිමක් මිස අහිකුංටක කන්ඩායම ඉන්න, නයි නටවන තැනක් නෙවෙයි... 
නලා අරන් නයි නටවන්න එන්න එපා.. 
It’s a battle field - NOT A GYPSY CAMP FOR SNAKE DAnce..  Don’t bring these… ",Negative,
,Rathidu Suramya Senarathna,"Live video එකක් පදනම් කරගෙන පුද්ගලයෙකු අත්අඩංගුවට ගත හැකිනම්, වීඩියෝ වල රාජපක්ෂ, වික්‍රමසිංහලාගෙ සොරකම් ඝාතන පිලිඹද ඕනෑතරම් කියා ඇත. මුලින්ම උං අත්අඩංගුවට ගත යුතුයි. 
මතවාද ගැටුනු තැන් තිබුනත් සමාජ යුක්තිය වෙනුවෙන් පෙනීසිටි අරගලකරු Pathum Kerner වෙනුවෙන් යුක්තිය ඉටුවන තුරු කොන්දේසි විරහිතව පෙනී සිටිමි ! 
අනීතික අත්අඩංගුවට ගැනීම් තුලින් අරගලය මර්ධනය නවතනු !! ",Negative,
,Uvindu Wijeweera,I've just reached 71K followers! Thank you for continuing support. I could never have made it without each and every one of you. ආදරනීය ඔබ සැමට ස්තූතියි,Positive,
,"Piumi Hansamali ",නිදා ගන්න කලින් නිකමට කමෙන්ට් බැලුවා මෙක දැකලා නිකං මොකද්ද වගෙ උනා.එක පාරටම කියව ගන්න බැරි උනා දෙපාරකට නෙවෙයි 100 පාරාක් බැලුවත් කියව ගන්න දන්නෙ නැ.එහාපැත්තෙ මගෙ මිනියා හිටියා එයා තෙරැම් ඇතුව මට teach මගෙ account එක හම්බෙනක් මම ඉතිං මගෙ පුතාගෙ එක පාවිච්චි කරන්නෙ ,Negative,
184164K,Ratta,"අරගලයේ නියමුවන් දඩයම නවතනු !! 
Live video එකක් පදනම් කරගෙන පුද්ගලයෙකු අත්අඩංගුවට ගත හැකිනම්, වීඩියෝ වල රාජපක්ෂ, වික්‍රමසිංහලාගෙ සොරකම් ඝාතන පිලිඹද ඕනෑතරම් කියා ඇත. මුලින්ම උං අත්අඩංගුවට ගත යුතුයි. 
මතවාද ගැටුනු තැන් තිබුනත් සමාජ යුක්තිය වෙනුවෙන් පෙනීසිටි අරගලකරු Pathum Kerner වෙනුවෙන් යුක්තිය ඉටුවන තුරු කොන්දේසි විරහිතව පෙනී සිටිමි ! 
අනීතික අත්අඩංගුවට ගැනීම් තුලින් අරගලය මර්ධනය නවතනු !! ",Negative,
,Asanka Navarathne,"ශ්‍රී ලංකාවට කඩුළු 9 ක ජයක්..
Sri Lanka vs Ireland T20 World Cup 2022: Kusal Mendis' unbeaten 68 helps SL beat IRE by 9 wickets.
Congratulations Sri Lanka Cricket",Positive,
,Lahiru Mudalige,"මෙල්බර්න් වල තියෙන ලංකාවේ ලොකුම salon එකේ කතාව | beauty පැත්තෙන් රස්සාවක් කරලා හොඳ ආදායමක් ලබන්න Lankaවෙන් ඕස්ට්‍රේලියාවට එන්න කැමති ගෑණු ළමයින්ටත් චාන්ස් එකක්💪💅💇‍♀️💇💆‍♀️
ශූටින්ග්",Positive,
,"Piumi Hansamali
",පවු ඉතිං රැපියල් 200 කින් අද කාලෙ බත් පැකට් එකක් තියා හරියට වෙලක් වත් කන්න විදිහක් නැ.ඇත්තටම බලන්නකො පවු එ තාත්තා.තියන සතුට බලන්නකො.❤️🙏 පුලුවන් හැම මොහොතකම කාට හරි පිහිටක් වෙන්න.ජිවිතෙට පිනක් දාහාමක් නොකරපු Mrs world කෙනෙක් ඉන්නවා දැං අවුරුද්දක ඉදලම මාව copy කරනවා😂 මම කරන කරන දෙ කරනවා.අනෙ එ පිනත් ඉතිං මටම තමයි මාව බලන්න නෙ එයා පිං දහම් කරන්නෙ.ජිවිතෙට පුසෙක්ට බලු කුක්කෙක්ට කැම එකක් නොදාපු එයා දැං බල්ලො පුසො හොය හොය කැම දාදා යනවා😂යන්නෙ උඩිං එත් copy කරන්නෙ Piumi hansamali ව I’m so proud of me 😃 ඇත්තටම හොද දෙවල් copy කරාට කමක් නැ🙈,Positive,
,Piumi Hansamali,Photo credit Mahen Muditha ❤️ lovely dress  👗 Nayoma Wijesinghe Hair by Pawa makeup 💄 Saji Drake Mrs world 2022 pageant next yer Mrs world me 😂crown එක දුන්නෙ නැත්ත උදුරන් හරි යනවා මන් ලාස් වෙගාස් වලට🤦🏼‍♀️,Positive,
,Kanchana Wijesekera - කංචන විජේසේකර,"ලංකා ඛණිජ තෙල් සංස්ථාවේ අධ්‍යක්ෂ මණ්ඩලය සමග හමුවක් ඊයේ සවස පවත්වන ලදි. ඉදිරි ප්‍රතිව්‍යුහගත සැලසුම්, මූල්‍ය පසුබිම, ඇනවුම් කිරීමේ සහ බෙදා හැරීමේ වැඩපිළිවෙල, ඉන්ධන පිරවුම්හල් නියෝජිතයන් වෙත සිදු කරන ගෙවීම් සහ පරිපාලන කටයුතු පිළිබඳව සාකච්ඡා කරන ලදි. මෙහිදී මහ බැංකුව සහ මහා භාණ්ඩාගාරය ලබා දී ඇති නිර්දේශ අනුව කටයුතු කිරීමට අවශ්‍ය සැලසුම් පිළිබඳව දැනුවත් කරන ලදි. 
Met with the board members of the Ceylon Petroleum Corporation yesterday. Discused the restructuring plans, financial status, placement of orders, distribution, dealers margins, fuel pricing formula & guidelines given by the Central Bank & Treasury.  ",Positive,
,Ratta,"එකපාරට මාගේ එකවුන්ට් එකට මාගෙ අනුදැනුමකින් තොරව ලක්ෂ 50ක් දැම්ම පිංවතා හිතං ඉන්නවනං මම මේක අරං වියදං කරලා ඇම කාලා පස්සෙ අරගලයෙං මූල්‍ය වංචා හෝ ඩයස්පෝරා උගුලට අහු වෙයි කියලා, ඔබ නොදන්නවා ඇති මා CIMA qualified Accountant කෙනෙකු බවත් මා සල්ලි වලට නමා ගන්නට හැකි අයෙකු නොවන බවත් ! 
මෙතෙක් කල් අරගලයෙන් අතිං කයිට් කරගත් දේවල් මිස පුද්ගලිකව ලබා ගත් වාසි කිසිවක් නැත ! අප මර්ධනය කරන්නට මෙතෙක් ගත් නින්දිත ක්‍රියාමාර්ග හා මඩ කැම්පේන් හමුවේ නොසෑලි ඉන්නට පුලුවං උනේ අපේ අත් 100%. පිරිසිඳු නිසාවෙනි. 
අද හදිස්සියේ මේ මාගේ එකවුන්ට් එකට වැටුන මිලියන පහ ගැන දැනට Sampath Bank එකට පැමිනිල්ලක් දැනටමත් යොමු කර ඇති අතර හෙට උදේම මේ ගැන නීතිමය ක්‍රියාමාර්ග ගැනීමට බලාපොරොත්තු වෙමි 😁",Negative,
,Ratta,"IMF කිඹුල් කඳුළු -
උද්ඝෝෂකයන් පිරිසක් ඉන්න වටපිටාවක, අහලපහලවත් IMF නියෝජිතයො එක්ක සාකච්ඡා සූදානම් කලා කියන්නෙම, මුන්ට ඕන IMF නොලැබෙන එකේ වරද උද්ඝෝෂකයන් පිට පටවන්න.
ඊයෙ රෑ ගේට්ටු අවහිර කරනකොට මොකුත්ම නොකර, අද උදේ වෙනකල්ම හිටියෙ, උන්ට ඕන IMF නොලැබෙන එක උද්ඝෝෂකයන් පිට පටවන්න.
මේ වගේ සාකච්ඡාවකට බාධාවක් ආවොත්, මොකක්ද කරන්නෙ කියල Contigency pan එකක් නෑ කියන්නෙම, නන්දෙ-රනිල් කොහොමත් ෆේල්.
අවුරුදු ගානක් තිස්සෙ IMF යන්නෙ නැතුව. IMF ඕන නෑ අපි රට සංවර්ධනය කරන්නං කිය කිය පම්පෝරි ගහල මිනිස්සුන්ට කන්න නැතුව මැරෙන තැනට ආවම දැං IMF නොලැබෙන්නෙ අරගලේ නිසා පැය බාගයක් පරක්කු උනා කියල අත හෝදගන්න හදනවා.
ලංකාවට IMF තියා ප්‍රාදේශීය සංවර්ධන බැංකුවකිංවත් ණයක් ගන්න බෑ හොරෙක් ජනපති පුටුවෙ ඉන්නකං !! කලිං ගත්ත ණය වලට කරපු දෙයක් නෑ. මොන බැංකුවකිං වත් එක පවුලකට හොරා කන්න සල්ලි දෙන්නෙ නෑ. 
ණය ගන්න ඕන නෑ, ගෝටා ගෙදර පල, ඊට පස්සෙ පිටරට ඉන්න ලංකාවෙ මිනිස්සු සල්ලි එවයි රට ගොඩ ගන්න!! කවුරුත් කැමති නෑ බේබිලට සැප ගන්න තමුං දුක් මහංසියෙං හම්බ කරන එක පූජා කරන්න.
විසඳුම සරලයි ! ගෝටා ගෙදර පල ! 
අරගලයට ජයවේවා 💪",Negative,
,Ratta,"පඩි දැම්මම රාජපක්ෂලගෙ ඕන ලැට් වලක් සුද්දකරන දිනමින Dinamina සහ හිරු TV, ලැජ්ජයි 😂!! 
මේ මඩ පුවත් වල කිසිඳු සත්‍යතාවයක් හෝ කිසිඳු පොලිස් පරික්ෂණයක් සිදුවෙලා නැත. ගොසිප් මඩ රටටම පේන්න TV එකේ දාන තුප්පහි මාද්‍ය වල මාද්‍ය සදාචාරය ගැන Hiru TV වගේම හිරිකිත නැතුව රස කර කර කියන Chamuditha samarawikrama වැනි හෘදසාක්ශියක් නොමැති මාද්‍යවේදීන් තමුං ගැනම ලැජ්ජ විය යුතුයි !! 🖕",Negative,
,Ratta,"වයසක උපක්‍රම 2022 දී එක්ස්පයර්ඩ් !! 
You are fcuknig with the wrong generation !!! 💪💪",Negative,
184101R,Mahinda Pathirana,"දෛවයේ උපරිම සරදමක් ලෙස, ලංකාවේ ඉපදුන, එහි සංස්කෘතිය හා බැඳුණු එහෙත් වෙනත් රටක ද තාක්ෂණික පුරවැසිකමක් හිමි අයට පාර්ලිමේන්තු වැට බඳින ගෝ ත්‍රික තීරණ ගන්නා විට, ඉන්දියානු සම්භවයක් සහිත, එමෙන්ම බිරිඳ තාමත් ඉන්දියානුවෙකු වන, බිරිඳගේ පියා ඉන්දියාවේ බිලියනපති ව්‍යාපාරිකයෙකු ද වන, රීෂී සුනක් බ්‍රිතාන්‍ය අගමැති ධුරය සඳහා පළමු පියවර ලෙස කන්සවේටිව් පක්ෂයේ නායකත්වයට මීට මද වේලාවකට පෙර පත්විය. අප කොයි යන්නේ?",Negative,
,Rohana Vijeweera,ධනපති පන්තිය තියන තාක් ඔව්න් නිර්ධන පන්තිය පාවිච්චි කර ඔව්න්ගේ අරමුණු ඉටුකරගැනීමට උත්සහ දරනු ඇත,Negative,
,Dilan Senanayake,Train එකේ bus එකේ මිරිකී මිරිකී සැපේ යන අය මේ කට idea එකක් දාගෙන යන්න ,Negative,
,Dilan Senanayake,"ඔයාට හිතෙනවනම් මම හොද උනාට ඇය් මට අනිත් අය මෙහෙම කරන්නේ කියල,  Then ඔය අනිත් අය එක්ක හැසිරෙන විදිය ගැන දෙපාරක් හිතන්න වෙනවා  guys",Negative,
,Anura Kumara Dissanayake,මේ ආණ්ඩුව වර්තමානය වෙනකොට විශාල අර්බුද රැසකට මුහුණදීලා තියෙනවා. ඒ අර්බුද විපක්ෂයකට නම් රත්තරන් වගේ. ඒත් වර්තමාන විපක්ෂය ඒ දේවලින් ප්‍රයෝජන ගන්නවද?,Negative,
,Maithripala Sirisena,"අපි නිදහස සමරන මේ මොහොතේ සැමට සැබෑ සදාචාරාත්මක, ගුණවත්, නැණවත් සහ සාධාරණ සේවාවක් සැපයීමට කැප වෙමු. ලබා ගත් සාමය සහ නිදහස තහවුරු කර අපේ භූමිය සහ ජනතාව වෙනුවෙන් මේ අනාගතය ගොඩනඟන බවට ප්‍රතිඥා දෙමු",Positive,
,Maithripala Sirisena,"අප නිදහසේ 68 වැනි සංවත්සරය සමරන මේ දිනයේ, ජාතියේ නිදහස, ස්වෛරීභාවය, භෞමික අඛණ්ඩතාව ආරක්ෂා කිරීම සහ අපගේ සියලු පුරවැසියන්ගේ ජාතික සංහිඳියාව සහ ආර්ථික හා දේශපාලන අයිතිවාසිකම් ශක්තිමත් කිරීම සඳහා ලබා ඇති ප්‍රගතිය පිළිබඳව අපි ආඩම්බර වෙමු.",Positive,
,Arthur C. Clarke,මගේ කාලය තුළ මගේ බොහෝ සිහින සැබෑ වනු දැකීමට හැකි උනා . I'm So lucky,Positive,
,Lasantha Wikckramasinghe,කෙනෙක්ට දියුණු වෙන්න exam pass ද කියන එක වැදගත් නෑ . වැදගත් වෙන්නේ උතසහය සහ කැපවීම.,Positive,
,Kumar Sangakkara,"I am Tamil, Sinhalese, Muslim and Burgher. I am a Buddhist, a Hindu, a follower of Islam and Christianity. මම අදත් හැමදාමත් ආඩම්බරයෙන් ශ්‍රී ලාංකිකයෙක්.",Positive,
184105H,Dilantha Malgamuwa,"19 වියේ පසුවන ශෙහාන් චන්ද්‍රසෝම ඇමරිකාවේ Road America ධාවන පථයේදී පැවති Lamborghini Super Trofeo 
අමෙරිකානු ශූරතාවයේ තරගයේදී ජයග්‍රහණය ලබා ගෙන අප රටට විශාල කීර්තියක් ලබා දුන්නා.",Positive,
,Iraj,අපි හැමෝම රැවටුනා පරණ edit කරපු Video එකට මෙන්න මේක තමයි ඇත්ත video එක. අධ්‍යාපන ඇමති සුසිල්ට දැන් මේ පරීක්ෂණය නවත්වන්න පුලුවන් 🤷‍♂️ බලන්න ඉතින් සමාජ ජාලා වල Share වෙන කිසිම දෙයක් විශ්වාස කරන්න බෑ නේ 🤷‍♂️ #lka #SriLanka,Negative,
,Abhisheka Wimalaweera ,කට්ටියම කාලෙකින්...මගේ Concert එකේ වැඩ පටන් ගත්තා..නොවැම්බර් මාසෙ දවසක හවසක මුණගැහෙමු ❤️ඔන්න එක්කන් එන්න පුලුවන් වුණු හැමෝම වගේ එක්කන් ආවා ,Positive,
,,ඔබ මම කරන හැම නිර්මාණයක්ම ආදරෙන් තුරුලු කර ගත්තා.Trending කියන්නෙ මහා ලොකු දිනුමක් නොවුණත් නරසීහ ගාථා හැරෙන්න මම කරපු හැම ගීයක්ම ඔබ Trending කරා.මුලින්ම Trending 1 වුණේ නිස්සාර.අන්තිමට සබදිනී.,Positive,
,Dushyanth Weeraman ,අපේ රටේ බොහෝ අය මේ වන විට හිතන් ඉන්නේ system change කලොත් මේ රට හදන්න පුලුවන් කියලා. මොකක්ද ඔය කියන system change කියලා ඇහුවොත් ඒක මොකක්ද කියලා කියන්න කවුරවත් දන්නවද? හැමෝම වගේ කෑ ගහනවා විතරයි. ,Negative,
,,කොහොම උනත් මේ රට නැවත ගොඩ ඒමට නම් ‍රටට ආදරය කරන පුද්ගලයෙක් කෙසේ වෙතත් හොරුන්ගෙන් අවම හොරෙක් බලයට පත් වීමට අවශ්‍ය නමුත් BOND SCAM එකෙන් පස්සේ ඒ තිබූ Mr.Clean සුද්ද නාමය රනිල්ට අහිමි වී ඇත. ,Negative,
,,නිදහස් කලාකරුවන්! සාමකාමී ජනතා අරගලයට ජය 🇱🇰💪,Positive,
,Yupun Abeykoon,ඊට පස්සේ මේ වෙනකන් කවදාවත් ස්ටේඩියම් එකෙන් 1/4 ක් පිරෙන්නවත්  ලංකාවේ ලොකුම සහ වැදගත්තම  Meet එක උන National Meet එකකටවත් සෙනග ඇවිල්ලා නෑ. ,Negative,
,,"අවුරුදු ගානක් එක ඉලක්කයක් වෙනුවෙන් කැප වෙලා , අවුරුද්දෙන් අවුරුද්ද දක්ශතා වැඩි කරගෙන , සතියට දවස් 6 ක් ගල් වෙන සීතලේ , පිච්චෙන අවුවේ( සමහර දවස් වල උදේ හවස ) ට්‍රේනින් කරලා ,පැය ගානක් Gym වල Ground වල දුක් විදලා , සමහර ට්‍රේනින් වල අමාරුවටම වමනේ දාලා ආපහු අමාරුවෙන් නැගිටලා Workout එක ඉවර කරලා ආයෙත් වමනේ දාපු දවස් සිය ගානක් පහු කරගෙන ඇවිත් තත්පර 9 කට අර කරපු හැමදේම තීරණය කරන්න දෙන්න වෙන මට ලෝකේ දහස් ගානක් ක්‍රීඩකයෝ අතරේ හොදම 8 දෙනාගෙන් කෙනෙක් වෙනවා කියන එකම ඇති මට මගේ ආත්මය සතුටු කරවන්න. ",Positive,
,Life of a Naturalist,"All the wealth stolen, all the people assassinated, all the mismanagements of public wealth, all the හොර deals made, all the laws manipulated in their favour, all the murderers and thieves they saved, they know will surely come to haunt them if they lose power.",Negative,
184093P,chanux bro,අන්තිම මොහොත කියල අත හරින්නෙපා. තව පාරක් try කරන්න.,Positive,
,Dammika perera,ප්‍රශ්ණ අහන්න අහන්න තමයි knowledge   එක වැඩි වෙන්නේ,Positive,
,Mahinda pathegama,system එකෙන් එලියට ඇවිත් මේ මකුලු දැල දිහා බලන්න.,Positive,
,Ajith perera,අපි කොහොමද අපේ රටේ දේශපාලනයේ missing piece එක හොයා යන්නෙ.,Positive,
,Chatura alwis,සංචාරකයන්ට අලුත් අත්දැකීමක් සමගින් ඉදිරියට යන ella odessy.,Positive,
,Ruchira kamboj ,උතුරේ ප්‍රශ්නෙට ෆෙඩරල් විසදුමක් ලැබෙන තුරු IMF සහය නෑ.,Negative,
,Chanux bro,"ඉතිරි Data ගාන බලනවා වගේ, තෙල් බලන්න වෙයි කියලා කවුද හිතුවේ.",Negative,
,anura kumara,IMF යන එක ලේසි නෑ.ඒකත් කෙටි කාලීන වින්දනයක්.,Negative,
,anil jasinghe,covid-19 සීඝ්‍රයෙන් ව්‍යාප්ත වීමට ප්‍රධාන හේතුව ජනතාවගේ නොසැලකිල්ල.,Negative,
,anura kumara,covid මරණ නෙවෙයි මේවා ඝාතන.,Negative,
184020R,pathum kerner,"මානව සංවර්ධන දර්ශකය, human development index එකේ අපි උඩින් හිටියට, රටේ ආර්ථික සංවර්ධනය තියෙන්නේ බොහෝම පහළ.
ළමයින්ට ආර්ථික සංවර්ධනය උදා කර ගන්න හැටි උගන්වමු. ",Positive,
,Shanudri priyasad,"මෙන්න මෙහෙමයි අපේ living area එක හදන්නේ YashasVi Creations එක්ක 🤩

Update එකක් ඉක්මනට දෙන්නම්😍

Stay tuneddd🔥",Positive,
,pathum kerner,"සොක්‍රටීස් කියපු කතාවක මම ආයේ ආයේ මතක් කරනවා. 
""The secret of change is to focus all of your energy  not on fighting the old, but on building the new."" - Socrates
රටක් වෙනස් කරන්න තියෙන හොඳම මග අපේ සියළු ශක්තිය පොදු සතුරා විනාශ කරන්න යෙදවීම නෙවෙයි. අපි අපේ සියළුම ශක්තිය අලුත් රට හදන්න යෙදෙව්වොත් ඒක තමයි හැබෑ ජයග්‍රහණය. ඒ හුදෙක් පොදු සතුරා විනාශ කිරීමෙන් පමණක් රට ගොඩ නැගෙන්නේ නැති නිසා.",Positive,
,pathum kerner,"මම ඊයේ මංගල සමරවීරගේ කථාවක් cite කලා. සජබෙන් කරපු නාවලපිටියේ විරෝධය අගේ කලා.
හර්ෂ ද සිල්වා ගේ මැදිහත් වීම නිතර අගේ කලා. රටට හොඳක් වෙන දේ, ජනතාව දනුවත් කරන්න පුළුවන් දේ, රට වෙනස් කරන්න පුළුවන් විදිය ගැන නිතර කතා කරනවා.",Positive,
